# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Aug  5 04:50:37 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00034781 -1.65000 10.10000 0.7188252211 2.3866082887    0.718 -0.034  3.7911  4.445    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.17e-14      0.00 8.490e-01 1.507e-01 4.437e-05 1.209e-05 1.102e-04 -1.000 2.531e-04 4.855 5.196 5.440 4.987 4.663 4.352 3.973 3.664 3.631
0.00034781 -1.65000 10.10000 0.7259079814 2.3897408736    0.725  0.011  3.7943  4.417    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.32e-14      0.00 8.527e-01 1.470e-01 4.344e-05 1.187e-05 1.082e-04 -1.000 2.494e-04 4.742 5.071 5.315 4.872 4.555 4.249 3.877 3.572 3.542
0.00034781 -1.65000 10.10000 0.7327696681 2.3927093616    0.732  0.057  3.7972  4.386    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-15      0.00 8.561e-01 1.436e-01 4.261e-05 1.166e-05 1.064e-04 -1.000 2.528e-04 4.627 4.945 5.187 4.755 4.443 4.142 3.776 3.477 3.449
0.00034781 -1.65000 10.10000 0.7396317720 2.3956147727    0.739  0.106  3.8000  4.352    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-17      0.00 8.592e-01 1.405e-01 4.186e-05 1.148e-05 1.049e-04 -1.000 2.584e-04 4.504 4.813 5.053 4.630 4.323 4.027 3.668 3.374 3.347
0.00034781 -1.65000 10.10000 0.7475607395 2.3988956231    0.747  0.168  3.8030  4.308    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 8.625e-01 1.372e-01 4.108e-05 1.130e-05 1.033e-04 -1.000 2.408e-04 4.351 4.653 4.887 4.474 4.173 3.883 3.530 3.241 3.217
0.00034781 -1.65000 10.10000 0.7500000000 2.3998889087    0.749  0.187  3.8038  4.293    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 8.635e-01 1.363e-01 4.086e-05 1.125e-05 1.028e-04 -1.000 2.255e-04 4.302 4.603 4.834 4.424 4.125 3.836 3.485 3.198 3.174
0.00034781 -1.65000 10.10000 0.7507632971 2.4001982048    0.750  0.193  3.8041  4.288    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-13      0.00 8.636e-01 1.361e-01 4.085e-05 1.124e-05 1.028e-04 -1.000 2.207e-04 4.287 4.587 4.818 4.408 4.110 3.821 3.471 3.185 3.161
0.00034781 -1.65000 10.10000 0.7566828728 2.4025725376    0.756  0.245  3.8060  4.248    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-13      0.00 8.646e-01 1.351e-01 4.074e-05 1.122e-05 1.026e-04 -1.000 2.251e-04 4.158 4.454 4.680 4.276 3.983 3.698 3.352 3.069 3.046
0.00034781 -1.65000 10.10000 0.7621970177 2.4047461406    0.761  0.296  3.8074  4.206    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 8.642e-01 1.356e-01 4.095e-05 1.128e-05 1.032e-04 -1.000 2.340e-04 4.030 4.325 4.545 4.147 3.856 3.574 3.231 2.952 2.929
0.00034781 -1.65000 10.10000 0.7659748197 2.4062145434    0.765  0.333  3.8080  4.173    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-13      0.00 8.636e-01 1.362e-01 4.116e-05 1.134e-05 1.037e-04 -1.000 2.406e-04 3.937 4.232 4.448 4.052 3.763 3.482 3.141 2.863 2.841
0.00034781 -1.65000 10.10000 0.7672899365 2.4067218191    0.766  0.347  3.8080  4.159    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-13      0.00 8.633e-01 1.364e-01 4.124e-05 1.136e-05 1.039e-04 -1.000 2.421e-04 3.902 4.197 4.411 4.016 3.727 3.446 3.104 2.827 2.804
0.00034781 -1.65000 10.10000 0.7723984122 2.4086734631    0.771  0.406  3.8066  4.097    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-13      0.00 8.624e-01 1.373e-01 4.155e-05 1.144e-05 1.047e-04 -1.000 2.483e-04 3.754 4.056 4.265 3.868 3.577 3.295 2.950 2.670 2.647
0.00034781 -1.65000 10.10000 0.7762787938 2.4101362010    0.775  0.458  3.8037  4.036    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-13      0.00 8.617e-01 1.380e-01 4.178e-05 1.151e-05 1.053e-04 -1.000 2.530e-04 3.626 3.939 4.145 3.741 3.445 3.158 2.807 2.522 2.498
