det_magR,RA,DEC,Reference,R,B,det_magB
-1.0176201,323.3804331128874,-0.7949140854596696,M2-S545,13.337,15.107,-0.913515
1.2207379,323.3903330042222,-0.7943392011023064,M2-S337,15.591,16.857,0.91894144
1.2637243,323.4149217168163,-0.7935598224624419,M2-S224,15.424,16.743,1.0545382
-1.754672,323.3565435203464,-0.7926310078803945,M2-S514,12.539,14.663,-1.3307154
0.89709234,323.3477811818593,-0.7915985651334068,M2-S495,15.337,16.661,0.5523961
0.0013690657,323.380906116979,-0.7915532501349916,M2-S334,14.491,15.935,-0.17942151
-1.9105858,323.323775902198,-0.7909648276537219,M2-S462,12.415,14.601,-1.4273264
0.09948396,323.4060704304644,-0.7904111638822685,M2-S341,14.345,15.833,0.025087876
0.35844606,323.3763634982278,-0.7902005907112671,M2-S328,14.741,16.211,0.19563629
1.1582472,323.40219377598225,-0.7883537422982869,M2-S582,15.343,16.655,0.76136297
1.3716927,323.346720107114,-0.7873102459645672,M2-S493,15.76,16.151,0.3314428
1.8346617,323.38814821655404,-0.7864330502449299,M2-S336,15.973,16.271,0.6404078
1.7267597,323.39154622743996,-0.7863630581829547,M2-S338,15.9,16.236,0.57247514
1.8219452,323.3777355230728,-0.7860815266778429,M2-S540,16.269,16.344,0.57024586
3.050518,323.33037244634545,-0.7851997968794575,M2-S472,16.921,17.84,2.38371
1.6805565,323.35360369015626,-0.7853715365919187,M2-S508,15.992,16.181,0.43314373
0.13291454,323.31976100427494,-0.7844676928348072,M2-S457,14.392,15.885,0.050163995
2.1600251,323.34281451350785,-0.7818000243737512,M2-S488,16.271,16.347,0.7144426
1.0059382,323.36438285465084,-0.7814836645610196,M2-S525,15.317,16.609,0.72533697
1.6076777,323.37449635437093,-0.779906877034051,M2-S537,15.786,17.031,1.3266172
4.090312,323.39459550962846,-0.7777500877114558,M2-S565,17.302,17.164,1.8824582
0.25062633,323.32623662057944,-0.7763072586418972,M2-S467,14.513,15.813,0.0076959287
